Title	Year	Percent of critics enjoying	Number of ratings	Description
Requiem	2006	88	4,650	This harrowing, naturalistic drama holds you in its grip through Huller's intense performance.
Prodigal Sons	2010	88	464	Fascinating and heartbreakingly honest, Kimberly Reed's family documentary uses its stranger-than-fiction story to speak near-universal truths about family bonds and human identity.
My Brother The Devil	2013	88	2,709	A tough, tender tale of familial angst with careful attention to detail, My Brother the Devil is a strong debut from director Sally El Hosaini.
Mutual Appreciation	2006	88	3,370	Director Bujalski continues to give cinematic voice to awkward, literate twentysomethings with noteworthy smarts and tenderness.
Ms. 45	2013	88	4,370	No consensus yet.
Men With Guns	1997	88	1,441	No consensus yet.
Fill the Void	2013	88	4,024	Graceful, complex, and beautifully layered, Fill the Void offers a sympathetic portrait of an insulated culture by exploring universal themes.
La Danse -- Le Ballet de l'Opera de Paris	2009	88	644	No consensus yet.
Winter Sleep	2014	88	4,584	Epic in length, thrilling to behold, and utterly absorbing, Winter Sleep demands -- and rewards -- viewers' patient attention.
In This World	2003	88	3,096	Using documentary-style filmmaking to blur the lines between fact and fiction. In This World tells a harrowing but important story about the plight of refugees.
I Am Trying to Break Your Heart	2002	88	4,618	Besides being a treat for Wilco fans, I Am Trying to Break Your Heart also exposes the workings of a profit-driven music industry.
Happy Valley	2014	88	1,400	Sober, even-handed, and quietly devastating, Happy Valley illuminates the wreckage of a tragedy while leaving viewers room to draw their own conclusions.
Crossfire Hurricane	2012	88	234	No consensus yet.
Catch Me Daddy	2015	88	727	Stylish and intense, Catch Me Daddy serves as an effective calling card for debuting British directors Daniel and Matthew Wolfe.
Carol Channing: Larger Than Life	2012	88	262	No consensus yet.
Buck	2011	88	4,557	No consensus yet.
Bang The Drum Slowly	1973	88	3,718	Bang the Drum Slowly is a touching melodrama that explores the inner workings of a baseball club and its players' personalities with remarkable depth.
42 Up	1999	88	3,056	No consensus yet.
The Real Dirt on Farmer John	2007	87	1,487	Ostensibly a bio about an eccentric farmer, The Real Dirt on Farmer John also doubles as a stirring exploration of man's common struggle with loss and prejudice.
The Motel	2005	87	4,013	No consensus yet.
The Other Dream Team	2012	87	1,790	No consensus yet.
The Beauty Academy of Kabul	2006	87	1,034	There's nothing frivolous about beauty school when hearing about the individual lives of these women in Afghanistan, and the contrast between them and the idealistic beauticians from America.
Tell Them Who You Are	2005	87	954	The dysfunctional interaction between director and subject is fascinating, poignant, and revealing of both men and of father-son relationships in general.
Shake Hands with the Devil: The Journey of Romeo Dallaire	2005	87	1,247	A gut-wrenching documentary about the man in charge of the UN peace keeping force during the 1994 Rwanda genocide of 800,000 Tutsi and moderate Hutus.
Roman Polanski: Wanted and Desired	2008	87	3,136	A courtroom drama and an exploration of celebrity and responsibility.
Reprise	2006	87	4,853	With Reprise, first-time director Joachim Trier effectively captures the spirit of young adulthood, and announces his arrival as a filmmaker to be watched.
Pink Ribbons, Inc.	2012	87	1,360	No consensus yet.
Neil Young Journeys	2012	87	1,905	No consensus yet.
Miss Bala	2012	87	4,634	Miss Bala's subject is loaded enough, but the frantic and muscular filmmaking puts this movie in a whole new league.
Middle of Nowhere	2012	87	2,386	Wise, compassionate, and beautifully acted, Middle of Nowhere offers an early testament to writer-director Ava DuVernay's startling talent.
Man Push Cart	2006	87	2,737	This compassionate portrait of a New York City street vendor is as beautiful as it is melancholy.
Magnificent Desolation: Walking on the Moon 3D	2005	87	1,822	This inspirational 3D IMAX film approximates for audiences what it is like to set steps on the moon.
Lightning in a Bottle	2004	87	1,073	Lightning in a Bottle pays dazzling tribute to the blues by capturing its power and excitement through backstage interviews and performance footage.
The Big Picture	2012	87	1,605	No consensus yet.
If a Tree Falls: A Story of the Earth Liberation Front	2011	87	1,478	No consensus yet.
I.O.U.S.A.	2008	87	1,789	A potent and lithely constructed documentary about America's financial crisis, I.O.U.S.A grabs you with figures but holds you with irreverent wit.
Happy People: A Year in the Taiga	2013	87	2,030	Filled with breathtaking images of the foreboding Siberian countryside, Happy People: A Year in the Taiga is a fascinating look at an isolated society.
Hannah Arendt	2013	87	3,394	Led by a powerful performance from Barbara Sukowa, Hannah Arendt does a commendable job of dramatizing the life of a complex public figure.
Felicia's Journey	1999	87	3,407	No consensus yet.
The Silence	2013	87	4,246	No consensus yet.
Calle 54	2001	87	1,176	A loving tribute to Latin Jazz artists where music does the talking.
Amreeka	2009	87	3,134	A dramedy that's got a taste for the tragic as well as the poignantly comic, Amreeka adds a new sweetness to the hope and distress of the immigrant experience.
Advanced Style	2014	87	437	Colorful, witty, and uplifting, Advanced Style celebrates life and pays tribute to those who flout convention.
A Field in England	2014	87	3,467	Recklessly assembled and occasionally compelling in spite of itself, A Field in England showcases a singularly brilliant voice in British cinema.
Wild Man Blues	1998	86	1,412	No consensus yet.
When the Road Bends: Tales of a Gypsy Caravan	2007	86	2,842	A dynamic doc following five Romani bands is a pleasure for the senses thanks to vibrant colors and eclectic music.
The Stepfather	1987	86	3,154	No consensus yet.
The Last Lions	2011	86	1,640	No consensus yet.
The Animation Show	2003	86	127	No consensus yet.
Tabu	2012	86	1,609	No consensus yet.
Starting Out in the Evening	2007	86	3,412	Starting Out in the Evening features sharp dialogue and moving performances from the talented Frank Langella and Lili Taylor.
Scott Walker: 30 Century Man	2006	86	1,258	Scott Walker: 30 Century Man is a stylish portrait of an influential artist that will fascinate fans and neophytes alike.
The Tribe	2015	86	3,028	A bleak, haunting drama whose wordless dialogue speaks volumes, The Tribe is a bold, innovative take on silent films for a contemporary audience.
Narco Cultura	2013	86	1,944	Disturbing, thought-provoking, and timely, Narco Cultura sheds some crucial light on an important -- and underserved -- subject.
Mayor of the Sunset Strip	2004	86	1,666	A fascinating, poignant look at the cult of celebrity.
Lawless Heart	2002	86	557	Unconventional and refreshing, this strikingly un-Hollywood film takes a quiet and heartbreaking look at the warmth and inspiration of friendships lost.
The Blue Room	2014	86	1,052	The Blue Room proves a sobering study of the dark side of human nature, as well as a coolly assured directorial effort from star and co-writer Mathieu Amalric.
Khodorkovsky	2011	86	513	No consensus yet.
Fifty Dead Men Walking	2008	86	4,488	Though somewhat uneven in places, Fifty Dead Men Walking is a gripping portrayal of Ireland's violent history, carried by the strong performances of its lead actors.
Dracula: Pages From a Virgin's Diary	2003	86	2,673	Guy Maddin's film is a richly sensuous and dreamy interpretation of Dracula that reinvigorates the genre.
Constantine's Sword	2007	86	756	Exceptional research elevates Constantine's Sword from a talking heads documentary to a resonant and thought-provoking expose of the church's dark history.
Computer Chess	2013	86	2,723	With its delightfully retro production design, Computer Chess is an inventive, intelligent, and humorous comedy that celebrates the eccentricity and uniqueness of its subject.
Cinemania	2002	86	1,121	No consensus yet.
Carancho	2011	86	1,939	No consensus yet.
Bright Leaves	2004	86	810	A rich, eccentric documentary about both filmmaking and the tobacco industry.
Bobby Fischer Against The World	2011	86	1,676	No consensus yet.
A Midnight Clear	1992	86	3,586	Beautifully filmed and wonderfully acted, A Midnight Clear is a holiday war film in search of a wider audience.
52 Tuesdays	2015	86	605	No consensus yet.
